x y z nx ny nz f_dc_0 f_dc_1 f_dc_2 f_rest_0 f_rest_1 f_rest_2 f_rest_3 f_rest_4 f_rest_5 f_rest_6 f_rest_7 f_rest_8 f_rest_9 f_rest_10 f_rest_11 f_rest_12 f_rest_13 f_rest_14 f_rest_15 f_rest_16 f_rest_17 f_rest_18 f_rest_19 f_rest_20 f_rest_21 f_rest_22 f_rest_23 f_rest_24 f_rest_25 f_rest_26 f_rest_27 f_rest_28 f_rest_29 f_rest_30 f_rest_31 f_rest_32 f_rest_33 f_rest_34 f_rest_35 f_rest_36 f_rest_37 f_rest_38 f_rest_39 f_rest_40 f_rest_41 f_rest_42 f_rest_43 f_rest_44 opacity scale_0 scale_1 scale_2 rot_0 rot_1 rot_2 rot_3
1.9546295 -4.291395 3.21043 0.0 0.0 0.0 0.44480655 0.38618812 -0.118118495 -0.012028675 0.008190607 0.011176159 -0.011532327 -0.0021218772 -0.004738073 0.0062988233 0.05119296 0.043847878 -0.017654162 0.00857856 -0.012496806 0.013536684 0.02612073 -0.007352659 -0.016514085 0.0045644646 0.00589077 -0.010877963 -0.004268894 -0.0064769583 0.005816687 0.049419887 0.044499844 -0.020378321 0.0091693355 -0.011097758 0.010328362 0.024622757 -0.01272103 -0.044910673 -0.007074426 0.0045355055 0.013338188 -0.020966453 -0.017451102 0.0018500463 0.0774303 0.040168233 -0.023676928 0.015804036 -0.014789801 0.006892063 0.019340634 -0.054127622 -0.87699884 -5.795354 -2.9383879 -5.0165524 0.59136724 -0.04932135 0.25862193 0.35897982
2.2706082 -4.148113 3.2117362 0.0 0.0 0.0 -0.1373973 -0.20658982 -0.5007667 0.0039488655 -0.017495507 0.05098007 0.05883272 -0.02169744 -0.045992125 0.067790374 0.0024200052 0.004105006 0.027909074 -0.0065435423 -0.017903177 0.03853227 0.0009681505 0.006604784 0.0056267604 -0.020252993 0.05058456 0.05608713 -0.02063289 -0.050085023 0.06839968 0.0013816459 0.00118103 0.028715566 -0.006630786 -0.021607732 0.042673808 -0.003659181 0.007972956 0.0043554683 -0.017299732 0.060008064 0.068210065 -0.020294553 -0.044241693 0.07451824 -0.00075712893 0.0012562942 0.027620925 -0.005081413 -0.013268055 0.039633267 -0.0018981243 0.008367432 -0.14998297 -4.860414 -4.0412335 -5.9501367 0.6120988 0.09018216 0.27505648 -0.16039322
2.426161 -4.1320977 3.2653513 0.0 0.0 0.0 0.59663105 0.55149984 0.25777376 0.02249908 -0.014901433 0.014604546 -0.047053177 0.011049544 -0.035295233 0.0107475165 0.0034036895 0.016087985 -0.018002428 -0.0016881585 -0.022649555 0.022786371 -0.014747634 0.041047376 0.025958218 -0.015604015 0.0144923935 -0.04995084 0.012190719 -0.039315164 0.0124422815 -8.568698e-05 0.016283555 -0.021168295 0.0002846164 -0.028587867 0.026297769 -0.020339012 0.047353007 0.032670196 -0.010916194 0.020830467 -0.048511587 0.017186193 -0.03505638 0.01792729 -0.010229714 0.016939772 -0.019550193 0.0013331674 -0.021808647 0.024103478 -0.020363083 0.053809464 -0.5329569 -3.3138208 -4.8282113 -3.1086593 0.9235798 -0.098513424 0.11587174 0.061475083
5.402025 -4.081578 13.846992 0.0 0.0 0.0 1.3847773 1.6376826 0.7628733 0.045759078 0.023251848 -0.019612856 -0.013123667 0.013222178 0.000990685 0.0009591984 -0.009635436 0.010588932 -0.010765783 0.010685612 0.0044902978 -0.0032754156 -0.0015267482 0.010497047 0.031274755 0.010059575 -0.010960967 -0.015314053 0.010922739 -7.401748e-06 -0.002595202 0.0012130063 0.016725218 -0.0112968385 0.007470128 0.0041319397 -0.00753916 0.012622092 -0.014984261 0.06541546 0.03415712 -0.02328362 -0.027946481 0.036184274 0.010180507 0.0003731654 -0.02685668 0.005747522 -0.016523454 0.023983466 0.005906976 0.0028752377 -0.025578622 0.062367126 -0.9933874 -4.3329124 -3.4464402 -3.217037 0.64864886 0.08335113 0.11718084 0.32359293
1.6914194 -1.5735352 3.1785166 0.0 0.0 0.0 -0.24521473 0.21217543 -1.7898109 -0.007471803 0.036314573 0.056700252 0.018122727 -0.020712 0.011175643 0.041998547 -0.019458288 0.045054268 0.026386192 -0.014843586 -0.019279715 0.029759455 -0.014579366 -0.071589105 0.0087470105 0.03766369 0.0446717 0.029882953 -0.012206095 0.018479394 0.042697817 -0.026788164 0.049467985 0.030177401 -0.014349173 -0.013066142 0.041330256 -0.011662794 -0.07448692 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.21836545 -3.9825854 -5.6023154 -4.7597923 0.880964 -0.026253745 0.15728402 -0.14250821
2.0516143 0.061747015 1.4919188 0.0 0.0 0.0 -0.77492505 -0.6194578 -0.9163921 -0.057293553 -0.0025063148 0.008662245 -0.05926123 -0.05831567 -0.011702332 0.004096144 -0.03230128 -0.011017692 -0.051685173 -0.038648028 -0.021076933 -0.00773062 -0.029103337 -0.042516686 -0.042987533 -9.2875016e-05 0.0043718913 -0.05420024 -0.053232808 -0.008764534 0.002522642 -0.041060716 -0.002717671 -0.047366332 -0.035080273 -0.015586143 -0.009922074 -0.03664374 -0.050557535 -0.08737693 0.00069964584 0.011008088 -0.07117171 -0.07758994 -0.004000672 0.0038215842 -0.029400755 -0.022757608 -0.064602524 -0.048346456 -0.018983325 -0.0055028507 -0.031269364 -0.047613528 3.648831 -5.5675807 -3.8580604 -5.529698 0.8658197 -0.25735697 0.023548733 -0.037477776
-0.23435153 1.1573098 2.2420747 0.0 0.0 0.0 1.376591 1.1266575 0.6368504 -0.06764841 0.008692213 -0.08233414 0.0060932245 -0.037274905 -0.0041905236 -0.06378158 0.08364501 -0.053121403 -0.017678596 -0.0044641853 0.0038805988 0.013633766 0.05966755 -0.024317665 -0.07421682 -0.005902239 -0.067679554 0.020442927 -0.044492338 -0.009076334 -0.04831173 0.066314355 -0.078711644 -0.009809732 -0.0018248674 0.004954467 0.015002434 0.052369457 -0.014012372 -0.06940999 -0.022074973 -0.043684293 0.025154622 -0.03537852 -0.0140808 -0.027859794 0.064248465 -0.08181114 -0.0026681493 0.009379179 -0.0032876474 0.017900208 0.053804986 -0.027107839 -1.0206443 -5.3202853 -4.248714 -5.0184026 1.0550475 -0.042780537 -0.013493517 -0.068038516
1.5335852 -3.435097 3.397028 0.0 0.0 0.0 1.4423059 1.3837285 1.0969138 -0.0054219896 0.018771842 -0.013690602 -0.06695816 -0.026173865 -0.0036355664 -0.0051476182 0.023491444 0.02244978 -0.07303001 -0.014364243 -0.01242774 -0.040802013 0.01159909 0.046430796 0.0073147146 0.010295912 -0.026250485 -0.062057517 -0.014974963 -0.013506198 -0.018318767 0.02138631 0.009598518 -0.069005586 -0.009645293 -0.02200491 -0.048991416 0.003044458 0.036014967 -0.05339161 -0.011414594 -0.038118307 -0.030336294 -0.066680774 -0.034768015 -0.036291864 0.043138444 -0.008852708 -0.030523365 -0.049549505 -0.03285784 -0.052646503 0.01787401 0.0058629564 -3.1260324 -5.6513324 -3.9845166 -3.6432552 0.8902728 0.08650597 0.09512088 -0.20194839
1.2947135 -1.2215856 1.302747 0.0 0.0 0.0 -0.5464013 -0.21707688 -1.2871082 -0.05717322 -0.028901035 -0.04700828 0.00090054463 0.0082934275 -0.06710786 0.026344568 0.008263819 -0.07387161 -0.0013934908 0.041002978 -0.007441929 0.044659592 -0.019067276 -0.050053038 -0.06267562 -0.03214377 -0.045486446 0.021873696 -0.0019086931 -0.06517813 0.033327486 -0.0008907544 -0.07888025 0.0034592808 0.044768576 0.00091428746 0.05940545 -0.028580695 -0.039866406 -0.020250747 -0.024324795 -0.05897122 -0.0280883 0.034998737 -0.08427135 -0.024507634 0.08026238 -0.05642986 -0.029670538 0.042673234 -0.050671358 -0.012347015 0.035652287 -0.09222671 0.43440804 -5.3823733 -3.664592 -6.7913527 0.7844621 -0.2512323 0.047346566 -0.16171153
0.14125328 2.317782 2.9179265 0.0 0.0 0.0 0.1890233 0.06503611 -0.32448715 -0.027292999 -0.019079369 -0.021402987 -7.274019e-05 0.00871278 0.013025987 0.03477974 -0.037495155 -0.002740245 -0.01068425 0.0023329987 0.025781672 0.009735209 -0.014194116 0.031778503 -0.020974817 -0.038888957 -0.018099193 0.0014004064 0.029257866 0.004814997 0.0418241 -0.0316002 -0.004717345 -0.013690701 0.013158302 0.017817656 0.01366138 0.0053181266 0.032800492 -0.023597192 -0.06842491 -0.025950454 0.008275534 0.058838673 -0.015748966 0.05841782 -0.012204181 -0.0030236328 -0.026379835 0.023829848 0.018017855 0.014573423 0.022091579 0.028939946 -0.701884 -5.5089393 -5.172621 -5.7120132 0.69401526 0.3321968 -0.22372735 0.052953027
